PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency,Efficacy,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.049 uM,Activity at 0.111 uM,Activity at 0.223 uM,Activity at 0.389 uM,Activity at 0.446 uM,Activity at 0.890 uM,Activity at 1.786 uM,Activity at 3.090 uM,Activity at 3.571 uM,Activity at 6.310 uM,Activity at 7.147 uM,Activity at 14.27 uM,Activity at 28.53 uM,Activity at 57.14 uM,Activity at 100.00 uM
,24272225,3119676,CC1CCC2=C(C1)SC(=C2C(=O)NC3=CC=C(C=C3)Cl)NC(=O)CC4=CC=CC=C4,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-7.577,,-18.3892,-24.9706,,-19.6484,-13.2361,-13.7305,,-19.061,,-12.743,-12.1996,-6.2864,-7.577,
,57288382,3119678,C1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC(=CC=C4)Cl,,,,,,,4,0 0 0 0 0 1 0 0 0 0,-11.2251,,-9.8214,-0.5575,,4.6587,-4.4983,-8.6806,,2.8334,,-9.7608,-9.1943,-11.715,-11.2251,
,14727173,3129653,CC(C)(C)C(=O)NC1=C(C2=C(S1)CCC2C(=O)OC)C(=O)OC,,,,,,,4,,-12.8,-12.2,-17,-14.1,-10.8,,-7.65,-6.9,-11.4,,-1.9,-7.95,2.85,-11.35,,-17.15
,57288363,3239066,C1CN(CCC1C(=O)NCC2=CN=CC=C2)S(=O)(=O)C3=CC=CS3,,,,,,,4,,-13.3,-11.25,-13.85,-16.1,-7.35,,-18.3,-14.4,-10.75,,-15.6,-10.4,-12.9,-14.2,,-16.75
,24416017,3364516,CC1=C(SC=C1)CNC2=C(C3=C(S2)CCCC3)C(=O)NC4=C(C=CC(=C4)Cl)OC,1,89.3674,3.5722,0.9957,-91.9192,-2.5517,-1.1,0 0 0 0 0 0 0 0 0 0,-92.6543,,-5.6232,-4.5854,,-1.1375,-40.4351,-78.9489,,-90.9574,,-91.5431,-91.4651,-93.0049,-92.6543,
,17410825,3614254,CC1=CC=C(C=C1)C(=O)NC2=NC(=O)N(S2)C(=O)CC(C)C,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1,-10.3,2.9,-4.05,-4.65,-4.85,,-9.8,-4,-14.7,,-25,-16.1,-21.9,-17.75,,-13.65
,57288396,3639936,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)C3=CC=CC=C3)C4=CC=CC=C4,,,,,,,4,1 0 0 0 0 0 0 0 0 0,-7.0389,,-4.9733,11.9648,,-0.832,-0.0092,-1.1636,,-0.318,,-6.0036,-1.8826,-8.0908,-7.0389,
,24272519,3653881,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CS3)C(=O)NC4=CC(=CC=C4)Cl,3.5481,82.0346,1.6924,0.9908,-87.4761,-5.4416,-1.1,0 0 0 0 0 0 0 0 0 0,-88.5592,,-3.2597,-12.2706,,-5.1383,-10.0924,-28.716,,-42.2059,,-70.0429,-80.3343,-82.9795,-88.5592,
,17410881,3711253,CC1=CC=C(C=C1)C(=O)NC2=NC(=O)N(S2)C(=O)C3CC3,8.9125,60.6,1.4641,0.9247,-66.68,-6.08,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,-59.8,-13.4,-8.9,-3.9,-9.55,,-5.45,-6.6,-10.05,,-17.85,-37.4,-46.7,-58.25,,-58.6
,24819547,3842739,CN1C(=O)C=C(N1)CSC2=CC=C(C=C2)Cl,1.122,34.47,1.331,0.7888,-39.29,-4.82,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0,-48.2,-12.4,-6.55,-6.45,-6.25,,-18.95,-27,-32.1,,-28.5,-18.75,-20.95,-34.2,,-44.4
,26663259,3976167,CC1=CC=C(C=C1)N2C(=O)C(SC2=O)CC3=CC=CC=C3,,,,,,,4,,-19.2,-16.95,-12.85,-9.65,-5.75,,-1.75,-6.7,-7.2,,-3.6,-11.4,-8.2,-10.5,,-28.8
,16953865,4094710,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F,35.4813,65.9403,2.2526,0.9184,69.4034,3.4631,2.2,0 0 0 0 0 0 0 0 0 0,54.8687,,-0.424,4.3994,,6.0329,-3.0347,9.8277,,-0.139,,7.8747,16.7843,21.7806,54.8687,
,57288388,4185185,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)NC(=O)CC3=CC=CC=C3)C4=CC=C(C=C4)OC,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-28.8978,,-2.0973,-5.1104,,1.2566,-4.6421,4.1125,,0.7914,,-12.1358,-9.2297,-21.0391,-28.8978,
,24275494,4201507,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)NC4=CC=C(C=C4)C(=O)C,,,,,,,4,,-16.1,-7.5,-0.35,-1.7,-8.65,,0.95,-8,-4.55,,-8.5,-1.85,-0.9,-7.65,,-18.55
,24415772,4207696,CC(C)C1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC=C(C3=O)C(=O)NCCC4=CC=CC=C4,,,,,,,4,0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,7.7,-10.9,-1.75,-6.9,-6.3,,-7.3,-7.35,-6.5,,-8.05,1.3,3.05,1.1,,7.6
,14744244,4876538,CC(C)C(C)NC(=O)CSC1=NC2=C(C(=CS2)C3=CC=CO3)C(=O)N1C4=CC=CC=C4,56.2341,99.795,1.8265,0.7666,-109.585,-9.79,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.4,0,-11.1,-16.75,-16.8,,-13.15,-16.75,-15.2,,-22.6,-13.1,-11.95,-21.95,,-92.4
,7973036,5310645,CC1=CC2=C(C=CC=C2N=N1)N,14.1254,101.107,1.5386,0.8911,-96.855,4.252,-1.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,-94,9.75,1.75,3.6,5.05,,-1.2,0.35,2.35,,-16.3,-62.8,-26.3,-74.3,,-93.5
,57288381,5918015,CCOC(=O)N1CCN(CC1)C(=O)CN2C(=O)/C(=C\C3=CC(=CC=C3)OC)/SC2=S,19.9526,40.1361,0.5,0.731,-45.6601,-5.524,-2.4,0 0 0 0 0 0 0 0 0 0,-34.7168,,-9.5861,-11.3048,,-2.1034,-18.7501,-17.6295,,-13.3961,,-24.4674,-18.3752,-25.8539,-34.7168,
,26728021,6409922,CC1=CC2=C(C=CC=C2NC(=O)NC3=CC=CC=C3)N=N1,50.1187,56.62,2.4064,0.8972,-62.57,-5.95,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-53.8,-8.65,-5.8,-10,-5.2,,-4.15,-3.1,-5.4,,-3.8,-8.55,-6.95,-15.2,,-55.45
,22410807,6902918,C1COCCN1C2=CC=C(C=C2)/C=N/NC(=S)NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,,,,,,,4,,-1.9,-14.6,-14.3,-9.7,-12.7,,-14.65,-17.2,-8.85,,-20.75,-21.55,-27,-27.5,,-9.1
,57288397,9795907,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,6.3096,102.052,1.6266,0.9815,-102.396,-0.3438,-1.1,0 0 0 0 0 0 0 0 0 0,-92.9604,,0.4776,-4.1268,,-0.383,-4.6294,-17.9003,,-17.3815,,-59.4177,-84.9383,-91.2944,-92.9604,
,57288386,9839953,COC1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,1,104.724,0.8,0.9404,-97.5517,7.1718,-1.1,1 0 0 0 0 0 0 0 0 0,-95.7928,,-26.5612,-11.2943,,-27.1244,-44.8904,-67.2041,,-55.9172,,-86.22,-80.1537,-93.4055,-95.7928,
,57288406,10987982,CCOC(=O)C1=C(SC2=C1CCOC2)N,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-10.3654,,4.6991,7.7209,,0.7168,-2.5223,-0.0915,,-0.8605,,-1.0255,-4.9969,-6.4677,-10.3654,
,57288409,11837072,CC1=C2C=NN(C(=O)C2=C(S1)N)C3=CC=CC=C3,28.1838,57.2141,1.5579,0.9475,-57.6124,-0.3982,-2.2,0 0 0 0 0 0 0 0 0 0,-43.9284,,3.115,-2.8006,,1.8246,5.0541,-5.5132,,-6.5583,,-8.6204,-10.8831,-30.5886,-43.9284,
,57288408,11837074,CC1=C2C=NN(C(=O)C2=C(S1)NC(=O)C)C3=CC=CC=C3,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-10.893,,11.7537,7.6269,,6.8876,1.6118,-0.8324,,-4.5781,,1.3939,-6.628,-2.4502,-10.893,
,57288367,11957514,CC([C@@H](C1=CC(=C(C=C1)O)O)O)N,7.9433,101.1,1.4641,0.9683,-104.91,-3.81,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-94.9,-4.9,-4.3,-4,-8.5,,-7.25,-11.1,-20.05,,-41.95,-54.7,-74.4,-89.75,,-95.2
,24270064,15989600,COC1=C(C=C(C=C1)NC(=O)CN2C=C(C3=CC=CC=C3C2=O)S(=O)(=O)N4CCN(CC4)C5=CC=CC=C5F)Cl,,,,,,,4,,13,4,6.35,7.2,3.5,,-1.85,-1.35,0.95,,3.3,2.3,-16.7,-0.05,,5.9
,24276261,15991496,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=CC=CC(=C3)C4=NC5=CC=CC=C5O4,,,,,,,4,,-6.8,-10.5,-1.55,4.6,-1.75,,1.05,2.1,5.05,,-7.95,-2.25,-9.7,-3.15,,-10
,24383840,16007667,CC1=NOC(=C1S(=O)(=O)N2CCC(CC2)C(=O)NC3=CC(=C(C=C3)OC)Cl)/C=C/C4=CC=CS4,,,,,,,4,,-7.2,-2,-8,-4.15,-5.45,,-0.95,-5.5,-4.6,,-6.7,-4.35,-3.3,4.4,,-9.5
,24386631,16010129,C1=CC=C2C(=C1)C(=O)N(C3=C(S2(=O)=O)C=CC(=C3)C(=O)NC4=CC=CC(=C4)C#N)CC5=CC(=CC=C5)Cl,,,,,,,4,,5.7,6.4,-4.65,0.95,1.5,,-1.7,-0.05,-1.35,,-3.55,3.3,0.5,2.2,,-3.7
,24395130,16017249,CC1=NN(C(=O)C2=CC=CN12)CC(=O)NCC3=CC=C(C=C3)OC,,,,,,,4,,-8.7,-19.1,1.6,7.05,1.65,,-4.95,4.85,-1.4,,-1.05,0.65,-3.3,-0.45,,-7.15
,24395227,16017325,CCN(C1=CC=CC=C1)S(=O)(=O)C2=NN=C(S2)NC(=O)C(C)(C)C,,,,,,,4,0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1,13.1,4.15,8.7,4.35,6.55,,8.8,-2.55,3.15,,1.8,-0.9,1.35,-8.2,,-3.75
,24395281,16017377,CN(C1=CC=CC=C1)S(=O)(=O)C2=NN=C(S2)NC(=O)C3CCCCC3,22.3872,102.688,1.4641,0.9604,-103.697,-1.009,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-91.5,-1.7,2.55,0.95,3.35,,-7.9,-3.9,-10.25,,-17.5,-18.3,-26.45,-61.35,,-91.9
,24395283,16017379,CN(C1=CC=CC=C1)S(=O)(=O)C2=NN=C(S2)NC(=O)COC3=CC=CC=C3,,,,,,,4,,-3.7,-11,-9.05,-6.85,-7.6,,-10.3,-10.55,-15.5,,-13.7,-11,-10.85,-4.6,,-16.45
,24395385,16017478,CC1=CC=C(C=C1)N(C)S(=O)(=O)C2=NN=C(S2)NC(=O)C3CCCCC3,,,,,,,4,,1.5,-6.1,3.15,-23.5,1.6,,-2,0.15,-0.35,,-2.6,3.35,-15.45,6,,0.45
,24395406,16017499,C1CCC(CC1)C(=O)NC2=NN=C(S2)S(=O)(=O)NC3=CC=CC=C3,,,,,,,4,1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0,-10.1,-7.45,1.4,3.15,6.85,,-2.85,-7.95,-7.4,,-29.9,-13.55,-11.55,-14.55,,-17.45
,24401281,16022892,CC1=CC=C(C=C1)NCC2=CC3=CC4=C(C=C3N(C2=O)CC(=O)NC5=CC=C(C=C5)C)OCCO4,,,,,,,4,,0.6,-7.25,-4.8,-7.85,-4.65,,-0.35,-10.55,-6.5,,-1.65,-19.9,2.45,4.25,,-0.6
,24401619,16023227,C1COC2=C(O1)C=C3C=C(C(=O)N(C3=C2)CC(=O)NC4=CC=CC=C4Cl)CNC5=CC=CC=C5,44.6684,87.11,1.5579,0.8288,-89.76,-2.65,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-74.8,5.6,-3.8,-1,2.7,,-2.4,-11.3,-5.85,,-7.45,-15.65,-12.05,-25.85,,-72.95
,26753630,16219029,C1=CC=C2C(=C1)C=CC(=N2)C3=CC=C(C=C3)N.Cl,31.6228,61.445,1.2221,0.738,-58.03,3.415,-1.4,0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-44.9,3.65,7.4,-2.5,-2.65,,-9.8,5.2,16.95,,-5.35,-7.4,-10.3,-22.25,,-46.35
,57288407,23878160,CCOC(=O)C1=C(SC2=C1CN(CC2)C)N,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-12.424,,9.31,3.4914,,7.1281,-4.6674,-4.29,,4.2213,,-1.2462,-3.5241,-17.1133,-12.424,
,57288372,25181364,C1=CNC(=O)C(=C1C2=CC=NC=C2)N,15.8489,103.46,0.5,0.7104,-96.96,6.5,-2.3,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0,-69.1,3.2,-3.95,-2.1,-4.85,,-12.7,-10.7,-17.25,,-12.65,-16.95,-23.4,-38.85,,-74.95
,57288373,25181365,C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,8.9125,46.12,3.5117,0.6414,-57.71,-11.59,-1.4,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1,-11.2,-13.15,-13.85,-6.3,-15.1,,-14.9,-15.15,-24.7,,-26.35,-23.4,-53.05,-71.05,,-17.05
,57288374,25181366,CN(C)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,1.5849,84.3,1.21,0.9207,-95.94,-11.64,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95,-14.15,-17.65,-19.55,-26.4,,-31.75,-47.75,-83.3,,-89,-66.45,-92.85,-94.2,,-95.35
,57288375,25181367,CN(C)C(=O)C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,35.4813,87.92,0.7,0.7964,-91.38,-3.46,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-69.1,-7.5,-3.65,2.75,-5.25,,-16.55,-13.1,-19.1,,-25.05,-11.8,-28.5,-35.5,,-68.15
,57288376,25181368,C1=CC=C(C=C1)C2=CNC(=O)C(=C2)N,8.9125,89.3,0.9,0.9306,-98.34,-9.04,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-83.4,-15.4,-8.35,-8.5,-14.15,,-21.25,-19.15,-37.3,,-53.95,-37.95,-65.1,-75.2,,-86.05
,57288383,25181369,COC1=C(C=CC=C1Cl)NC(=O)C2=C(SC3=C2CCCC3)NC(=O)CC4=CC=CC=C4,,,,,,,4,0 1 0 0 0 0 0 0 0 0,-15.3884,,-5.5738,-13.5267,,-9.2839,-11.4561,-12.8728,,-12.4541,,-15.5807,-16.9156,-13.9772,-15.3884,
,57288384,25181370,CN1CCC2=C(C1)C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,39.8107,45.1392,2.7202,0.9337,-48.1392,-3,-2.2,0 0 0 0 0 0 1 0 0 0,-36.7826,,-2.7906,-0.3455,,0.9121,1.1803,-7.6539,,-6.3826,,-30.2337,-7.1819,-15.9572,-36.7826,
,57288385,25181371,C1COCC2=C1C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,,,,,,,4,0 0 0 0 1 0 0 0 0 0,-11.4455,,-0.9236,-3.6204,,-4.2395,-5.173,-2.4945,,-11.4784,,-10.2868,-7.1039,-8.8902,-11.4455,
,57288387,25181372,CCN(CC)C(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,10,120.535,0.7,0.9449,-115.248,5.2872,-2.1,0 0 0 0 0 0 0 1 0 0,-94.0762,,-1.9185,-5.6779,,3.0513,-17.4721,-26.4542,,-26.5645,,-57.8233,-24.4415,-64.5284,-94.0762,
,57288390,25181373,COC(=O)C1CCC2=C1C(=C(S2)NC(=O)CC3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,,,,,,,4,0 0 0 0 0 0 0 1 0 0,-12.6318,,-3.2146,5.5425,,-1.3996,-5.1648,-8.7329,,-1.3275,,-14.6823,-3.3956,-15.3515,-12.6318,
,57288392,25181374,COC(=O)C1CCC2=C1C(=C(S2)N)C(=O)OCC3=CC=CC=C3,,,,,,,4,0 0 0 0 0 0 0 0 0 0,-25.6884,,8.2916,8.6545,,5.4496,12.3634,-3.6905,,5.8523,,-5.5259,-13.4895,-20.9642,-25.6884,
,57288393,25181375,CCOC(=O)C1=NN(C(=O)C2=C(SC(=C21)C)N)C3=CC=CC=C3,12.5893,45.9048,1.111,0.9018,-43.5691,2.3357,-1.2,0 0 0 0 0 0 0 0 0 0,-36.3076,,-3.0957,-0.2392,,5.6858,6.979,-4.3525,,-11.3702,,-15.1483,-14.6907,-34.6761,-36.3076,
,57288394,25181376,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)CO)N,3.9811,89.7336,1.8579,0.9826,-89.0767,0.6569,-1.1,0 0 0 0 0 0 0 0 0 0,-93.1357,,-4.7751,-5.5309,,5.2951,1.9032,-12.9139,,-46.7247,,-63.0085,-78.7171,-85.4642,-93.1357,
,57288398,25181377,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)N)N,4.4668,95.7828,1.6259,0.9881,-92.7155,3.0673,-1.1,0 0 0 0 0 0 0 0 0 0,-93.4513,,-4.5252,3.2487,,8.7911,-4.4934,-18.7607,,-31.8843,,-64.9256,-78.1583,-87.5828,-93.4513,
,57288399,25181378,C1=CC=C(C=C1)CNC(=O)C2=NN(C(=O)C3=C(SC=C32)N)C4=CC=CC=C4,7.0795,86.0989,1.4641,0.984,-91.6121,-5.5132,-1.1,0 0 0 0 0 0 0 0 0 0,-82.8941,,-4.0684,-2.018,,-7.3634,-17.6763,-14.1709,,-24.6629,,-47.5549,-74.2275,-82.9338,-82.8941,
,57288400,25181379,C1COCCN1C(=O)C2=NN(C(=O)C3=C(SC=C32)N)C4=CC=CC=C4,11.2202,77.7834,2.1211,0.9859,-83.2195,-5.4361,-1.1,0 0 0 0 0 0 0 0 0 0,-81.8732,,-14.1038,-1.5898,,-1.7811,-7.543,-5.1996,,-9.3297,,-27.3491,-54.3791,-72.4582,-81.8732,
,57288401,25181380,COC1=C(C=C(C=N1)C2=CC=CC=C2)N,35.4813,42.8307,1.6924,0.8264,-41.3307,1.5,-2.4,0 0 0 0 0 0 0 0 0 0,-31.1089,,-1.1136,6.4156,,-0.9451,2.6099,1.9965,,7.7124,,-11.4258,-3.8188,-13.8161,-31.1089,
,57288402,25181381,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=CC=C3F,3.9811,32.7137,3.5117,0.9099,-37.2835,-4.5698,-1.2,0 0 0 0 0 0 0 0 1 0,-29.1775,,-4.9929,-1.3082,,-1.5055,-10.8798,-7.0081,,-15.664,,-39.3995,-41.0696,-19.4932,-29.1775,
,57288403,25181382,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)OCC)N,2.5119,27.2929,1.4641,0.9615,-34.2863,-6.9934,-1.2,0 0 0 0 0 0 0 0 0 0,-33.9886,,-4.9945,-8.0197,,-13.7354,-10.5246,-15.0233,,-25.2552,,-31.7229,-32.2899,-31.6723,-33.9886,
,57288405,25181383,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)N)N,5.0119,85.6788,1.9282,0.9794,-90.3554,-4.6766,-1.1,0 0 0 0 0 0 0 0 0 0,-93.1997,,-0.7788,-7.0607,,-5.8154,-15.1411,-3.6676,,-39.0129,,-62.23,-76.9192,-86.0484,-93.1997,
,22410419,135401250,CN(C)S(=O)(=O)C1=CC=CC(=C1)N=C2NN=C(CS2)C3=CC=CC=C3,11.2202,34.37,1.9887,0.7912,-35.48,-1.11,-1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0,-41,-9.7,-0.7,1.45,-0.65,,-0.45,4.2,-6.6,,10.6,-28.3,-21.6,-27.95,,-35.9
,26670253,135465963,CC(=O)NC1=CC=C(C=C1)C2=NNC(=NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4)SC2,2.5119,33.8676,0.6,0.788,-34.6765,-0.8088,-1.4,0 0 0 0 0 0 0 0 0 0,-26.2921,,-2.7574,-11.5296,,-9.7067,-12.4171,-14.7559,,-17.0216,,-27.7991,-18.7511,-36.3971,-26.2921,
,14746342,135470621,C1=CC=C(C(=C1)C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O)[N+](=O)[O-],11.2202,93.175,1.3443,0.9739,-95.965,-2.79,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-89.6,-6,1.45,-1.5,-4.75,,-4.95,-12.3,-19.75,,-26.6,-37.95,-56.75,-72.95,,-89.95
,24835095,135482423,CC1=CC=C(C=C1)C2=NNC(=NC3=CC=C(C=C3)F)SC2,25.1189,47.64,0.5,0.6708,-51.71,-4.07,-1.4,0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-39.7,-9.65,-11.05,-11.5,-13.4,,-3.8,-12.85,-14.35,,-18.1,-21.1,-21.75,-26.6,,-39.65
,24832264,135491645,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)N=C3NN=C(CS3)C4=C(C=CC(=C4)F)F,4.4668,64.61,1.9673,0.9162,-71.61,-7,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-68.1,-11.8,-9.7,-1.2,-7.15,,-5.65,-17.85,-25.4,,-37.85,-71.2,-63,-70.35,,-68.7
,17504416,135497954,COC1=C(C=CC(=C1)/C=N/N=C\2/NC(=O)C(S2)CC(=O)O)OCC3=CC=C(C=C3)Cl,,,,,,,4,,-1.7,7.65,1.2,-6.95,-4.65,,-2.05,-2.8,-4.1,,-3.65,-4.05,1.15,-8.55,,-9.55
,14746374,135500895,C1=CC(=C(C=C1Cl)[N+](=O)[O-])C2=CC=C(O2)/C=N/N=C/3\NC(=O)C(S3)CC(=O)O,1.5849,101.25,2.1211,0.9939,-95.376,5.874,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.5,6.55,3.4,3.8,4.5,,-12.05,-44.4,-75.8,,-89.5,-92.15,-93.3,-94.9,,-95.45
,14746375,135512424,CC1=CC(=C(C=C1)C2=CC=C(O2)/C=N/N=C\3/NC(=O)C(S3)CC(=O)O)[N+](=O)[O-],44.6684,102.12,0.9,0.8266,-110.7,-8.58,-2.3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-79.8,-12.45,-9.7,-15.25,-18.15,,-12.8,-11.25,-21.55,,-23.95,-31.7,-25.65,-41.05,,-82.45
,17512924,135517108,CC(C)CN1C(=C(SC1=S)/C=C/2\C=NN=C2C3=CC=CC=C3)O,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0,-10.3,2.6,6.45,7.3,-4.5,,-8.05,-5.6,-6.25,,-14.9,-12.75,-10.9,-8.85,,-19.8
